REGION_NAME,STATE/REGION,NAICS,NAICS_LDESC,LEVEL,YEAR,GDP,EST_POP
Arizona,AZ,113-115,"Forestry, fishing, and related activities",3,2010,498300000.0,6407342
Arizona,AZ,21,"Mining, quarrying, and oil and gas extraction",2,2010,6100500000.0,6407342
Arizona,AZ,211,Oil and gas extraction,3,2010,4600000.0,6407342
Arizona,AZ,212,Mining (except oil and gas),3,2010,5999900000.0,6407342
Arizona,AZ,213,Support activities for mining,3,2010,95900000.0,6407342
Arizona,AZ,22,Utilities,2,2010,6039300000.0,6407342
Arizona,AZ,23,Construction,2,2010,9805100000.0,6407342
Arizona,AZ,31-33,Manufacturing,2,2010,21110300000.0,6407342
Arizona,AZ,"321,327-339",Durable goods manufacturing,0,2010,16834099999.999998,6407342
Arizona,AZ,321,Wood product manufacturing,3,2010,168600000.0,6407342
Arizona,AZ,327,Nonmetallic mineral product manufacturing,3,2010,575600000.0,6407342
Arizona,AZ,331,Primary metal manufacturing,3,2010,482700000.0,6407342
Arizona,AZ,332,Fabricated metal product manufacturing,3,2010,1194700000.0,6407342
Arizona,AZ,333,Machinery manufacturing,3,2010,793400000.0,6407342
Arizona,AZ,334,Computer and electronic product manufacturing,3,2010,6890000000.0,6407342
Arizona,AZ,335,"Electrical equipment, appliance, and component manufacturing",3,2010,349100000.0,6407342
Arizona,AZ,3361-3363,"Motor vehicles, bodies and trailers, and parts manufacturing",4,2010,224500000.0,6407342
Arizona,AZ,"3364-3466,3369",Other transportation equipment manufacturing,4,2010,4686100000.0,6407342
Arizona,AZ,337,Furniture and related product manufacturing,3,2010,281800000.0,6407342
Arizona,AZ,339,Miscellaneous manufacturing,3,2010,1187500000.0,6407342
Arizona,AZ,"311-316,322-326",Nondurable goods manufacturing,0,2010,4276200000.0,6407342
Arizona,AZ,311-312,Food and beverage and tobacco product manufacturing,3,2010,1526200000.0,6407342
Arizona,AZ,313-314,Textile mills and textile product mills,3,2010,80200000.0,6407342
Arizona,AZ,315-316,"Apparel, leather, and allied product manufacturing",3,2010,21400000.0,6407342
Arizona,AZ,322,Paper manufacturing,3,2010,235900000.0,6407342
Arizona,AZ,323,Printing and related support activities,3,2010,442100000.0,6407342
Arizona,AZ,324,Petroleum and coal products manufacturing,3,2010,98200000.0,6407342
Arizona,AZ,325,Chemical manufacturing,3,2010,1421300000.0,6407342
Arizona,AZ,326,Plastics and rubber products manufacturing,3,2010,450700000.0,6407342
Arizona,AZ,42,Wholesale trade,2,2010,14797100000.0,6407342
Arizona,AZ,44-45,Retail trade,2,2010,18384200000.0,6407342
Arizona,AZ,48-49,Transportation and warehousing,2,2010,7409200000.0,6407342
Arizona,AZ,481,Air transportation,3,2010,2786500000.0,6407342
Arizona,AZ,482,Rail transportation,3,2010,574500000.0,6407342
Arizona,AZ,483,Water transportation,3,2010,17200000.0,6407342
Arizona,AZ,484,Truck transportation,3,2010,1600400000.0,6407342
Arizona,AZ,485,Transit and ground passenger transportation,3,2010,563100000.0,6407342
Arizona,AZ,486,Pipeline transportation,3,2010,70500000.0,6407342
Arizona,AZ,"487-488,492",Other transportation and support activities,3,2010,1306200000.0,6407342
Arizona,AZ,493,Warehousing and storage,3,2010,491000000.0,6407342
Arizona,AZ,51,Information,2,2010,7485700000.0,6407342
Arizona,AZ,511,Publishing industries (except Internet),3,2010,1363500000.0,6407342
Arizona,AZ,512,Motion picture and sound recording industries,3,2010,256899999.99999997,6407342
Arizona,AZ,515-517,Broadcasting (except Internet) and telecommunications,3,2010,4336600000.0,6407342
Arizona,AZ,518-519,"Data processing, hosting, and other information services",3,2010,1528700000.0,6407342
Arizona,AZ,"52,53","Finance, insurance, real estate, rental, and leasing",0,2010,53925700000.0,6407342
Arizona,AZ,52,Finance and insurance,2,2010,13722200000.0,6407342
Arizona,AZ,521-522,"Monetary Authorities- central bank, credit intermediation, and related services",3,2010,5518800000.0,6407342
Arizona,AZ,523,"Securities, commodity contracts, and other financial investments and related activities",3,2010,1368300000.0,6407342
Arizona,AZ,524,Insurance carriers and related activities,3,2010,6829000000.0,6407342
Arizona,AZ,525,"Funds, trusts, and other financial vehicles",3,2010,6000000.0,6407342
Arizona,AZ,53,Real estate and rental and leasing,2,2010,40203600000.0,6407342
Arizona,AZ,531,Real estate,3,2010,36951500000.0,6407342
Arizona,AZ,532-533,Rental and leasing services and lessors of nonfinancial intangible assets,3,2010,3252100000.0,6407342
